Food,Carbohydrates,Protein,Fat,Sugar,Sodium,콜레스테롤,포화지방,트랜스지방,1회 제공량,Energy,분류
김치찌개,11.93 ,15.07 ,15.00 ,3.02 ,1962.14 ,25.18 ,2.76 ,0.03 ,400.00 ,243.03 ,찌개 및 전골류
쌀밥,66.40 ,6.00 ,0.20 ,0.00 ,6.00 ,0.00 ,0.00 ,0.00 ,200.00 ,272.00 ,밥류
계란말이,2.61 ,11.98 ,13.02 ,0.05 ,327.21 ,292.17 ,3.11 ,0.07 ,100.00 ,175.57 ,전/적 및 부침류
버섯볶음,7.80 ,3.40 ,5.10 ,1.42 ,434.25 ,0.00 ,0.62 ,0.02 ,100.00 ,90.69 ,볶음류
김밥,57.57 ,7.26 ,6.84 ,0.50 ,833.29 ,40.49 ,2.75 ,0.06 ,200.00 ,317.68 ,밥류
도토리묵,10.38 ,0.29 ,0.32 ,0.43 ,124.15 ,0.00 ,0.03 ,0.00 ,100.00 ,45.60 ,생채/무침류
족발,5.51 ,39.04 ,23.95 ,0.32 ,542.57 ,74.87 ,6.97 ,0.10 ,150.00 ,393.77 ,찜류
짬뽕,100.59 ,28.17 ,19.18 ,3.38 ,4000.09 ,109.43 ,12.98 ,0.24 ,1000.00 ,687.62 ,면 및 만두류
순대국,17.26 ,43.52 ,33.02 ,0.00 ,1504.04 ,246.00 ,10.98 ,0.16 ,800.00 ,540.30 ,국 및 탕류
잔치국수,118.53 ,21.12 ,4.51 ,0.72 ,1683.17 ,60.46 ,1.00 ,0.00 ,700.00 ,599.17 ,면 및 만두류
비빔밥,114.83 ,19.92 ,18.62 ,25.65 ,1337.11 ,111.13 ,3.85 ,0.12 ,500.00 ,706.62 ,밥류
참치김밥,64.76 ,12.73 ,12.68 ,0.59 ,1108.41 ,97.82 ,3.91 ,0.18 ,250.00 ,424.06 ,밥류
잡채,38.84 ,2.05 ,4.53 ,2.72 ,658.95 ,0.00 ,0.75 ,0.04 ,150.00 ,204.32 ,볶음류
닭강정,28.42 ,15.94 ,14.76 ,6.56 ,426.20 ,51.25 ,3.10 ,0.10 ,100.00 ,310.25 ,튀김류
탕수육,51.83 ,17.48 ,19.94 ,17.08 ,442.98 ,44.01 ,4.90 ,0.17 ,200.00 ,456.72 ,튀김류
비빔국수,109.85 ,18.75 ,11.50 ,23.61 ,1854.91 ,26.09 ,1.97 ,0.10 ,550.00 ,617.94 ,면 및 만두류
갈비탕,7.61 ,27.38 ,10.76 ,0.00 ,1717.54 ,112.25 ,2.86 ,0.15 ,600.00 ,236.75 ,국 및 탕류
닭갈비,44.90 ,45.93 ,25.81 ,21.19 ,1535.83 ,193.40 ,6.00 ,0.15 ,400.00 ,595.61 ,찜류
김치볶음밥,120.00 ,23.07 ,20.27 ,4.29 ,1791.99 ,152.55 ,7.10 ,0.17 ,500.00 ,754.74 ,밥류
고등어구이,1.86 ,59.25 ,47.18 ,0.35 ,1227.73 ,136.31 ,12.13 ,0.51 ,250.00 ,667.87 ,구이류
설렁탕,12.56 ,59.58 ,14.59 ,0.25 ,685.78 ,145.33 ,5.72 ,0.40 ,600.00 ,419.82 ,국 및 탕류
유부초밥,82.31 ,12.46 ,7.47 ,10.67 ,1046.17 ,2.47 ,1.53 ,0.04 ,250.00 ,446.33 ,밥류
소불고기,18.30 ,12.75 ,5.83 ,3.36 ,892.09 ,41.41 ,1.55 ,0.16 ,200.00 ,176.71 ,구이류
순두부찌개,7.62 ,14.43 ,12.43 ,1.32 ,1350.98 ,80.93 ,1.79 ,0.09 ,400.00 ,200.08 ,찌개 및 전골류
감자탕,26.89 ,95.93 ,52.03 ,0.76 ,2631.20 ,453.80 ,16.48 ,0.16 ,900.00 ,959.55 ,찌개 및 전골류
쌀국수,55.07 ,15.60 ,4.18 ,4.27 ,1651.58 ,33.60 ,1.40 ,0.08 ,600.00 ,320.32 ,면 및 만두류
삼계탕,40.93 ,115.29 ,32.52 ,0.00 ,1310.98 ,471.70 ,10.76 ,0.32 ,1000.00 ,917.61 ,국 및 탕류
추어탕,20.29 ,24.59 ,17.96 ,0.00 ,2046.47 ,106.19 ,1.55 ,0.10 ,700.00 ,341.13 ,찌개 및 전골류
된장찌개,13.45 ,11.50 ,5.01 ,1.80 ,2021.01 ,11.81 ,0.77 ,0.00 ,400.00 ,144.88 ,찌개 및 전골류
볶음밥,112.68 ,18.79 ,27.49 ,0.86 ,1203.19 ,161.18 ,12.79 ,0.29 ,400.00 ,773.30 ,밥류
부대찌개,47.34 ,25.96 ,25.20 ,3.87 ,2664.21 ,82.64 ,6.78 ,0.11 ,600.00 ,520.05 ,찌개 및 전골류
양념치킨,21.13 ,17.75 ,13.39 ,6.24 ,402.74 ,68.89 ,2.69 ,0.11 ,100.00 ,276.03 ,튀김류
훈제오리,12.08 ,43.06 ,64.07 ,0.27 ,1220.37 ,171.00 ,15.98 ,0.39 ,250.00 ,797.14 ,구이류
순대,94.87 ,7.96 ,9.93 ,0.91 ,1315.19 ,49.22 ,3.76 ,0.06 ,300.00 ,547.59 ,찜류
육회,14.10 ,22.38 ,9.33 ,1.52 ,447.81 ,79.09 ,2.91 ,0.17 ,150.00 ,229.91 ,수조어육류
닭볶음탕,22.63 ,37.98 ,13.94 ,5.75 ,1023.02 ,154.84 ,4.03 ,0.08 ,300.00 ,367.92 ,찌개 및 전골류
수제비,128.38 ,20.84 ,5.55 ,4.32 ,2030.30 ,82.67 ,1.43 ,0.00 ,800.00 ,646.84 ,면 및 만두류
감자튀김,37.59 ,3.69 ,15.74 ,0.29 ,246.46 ,0.00 ,3.06 ,0.08 ,100.00 ,306.84 ,튀김류
어묵,17.84 ,8.29 ,2.95 ,2.42 ,451.77 ,0.00 ,0.32 ,0.00 ,100.00 ,131.12 ,분식
인절미,45.39 ,5.65 ,1.86 ,1.93 ,341.37 ,0.00 ,0.56 ,0.00 ,100.00 ,220.95 ,"곡류,서류 제품"
비빔냉면,122.40 ,19.54 ,6.11 ,27.03 ,1663.87 ,75.15 ,1.90 ,0.05 ,550.00 ,622.74 ,면 및 만두류
제육덮밥,115.48 ,30.08 ,22.24 ,7.27 ,1538.06 ,83.77 ,5.68 ,0.15 ,500.00 ,782.38 ,밥류
김치전,34.49 ,7.10 ,12.88 ,1.55 ,686.94 ,28.52 ,2.23 ,0.08 ,150.00 ,282.27 ,전/적 및 부침류
간장게장,12.84 ,37.69 ,11.12 ,5.90 ,3220.82 ,378.79 ,2.63 ,0.23 ,250.00 ,302.16 ,젓갈류
식혜,24.30 ,2.25 ,2.70 ,17.10 ,3.38 ,0.00 ,0.00 ,0.00 ,150.00 ,130.50 ,음료 및 차류
